notes-021-022	complete
notes-023-024	complete
notes-025-026	complete
notes-027-028	complete
notes-029-030	complete
notes-031-032	complete
notes-033-034	complete
notes-035-036	complete
notes-037-038	complete
notes-039-040	complete
notes-041-042	complete
notes-043-044	complete
notes-045-046	complete
notes-047-048	complete
notes-049-050	complete
notes-051-052	complete
notes-053-054	complete
notes-055-056	complete
notes-057-058	complete
notes-059-060	complete
notes-061-062	complete
video-96lN2omwit4	complete
video-uzixOflp0tY	complete
video-M0py5a4RWhE	complete
video-vk_RlYUKUyM	complete
video-3VG2kDHso08	complete
video-TtMNnZ8__UU	complete
video-82__84nYd4I	complete
video-ph3wE8cFMmk	complete
boundary-assignment	complete
playlist-chronology	complete
